NAME,yyyymmddhh,PS01,PS02,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP20,1990091500,0,0,0,0,0,0,0,0,0,0,35,35
WP20,1990091506,0,0,0,0,0,0,0,0,0.2,0,45,30
WP27,1990110800,0,0,0,0,0,0,0,0,0,0,35,40
WP27,1990110806,0,0,0,0,0,0,0,0,0,0,40,40
WP27,1990110812,0,0,0,0,0,0,0,0,0,0,45,45
WP27,1990110818,0,0,0,0,0,0,0,0,0,0,45,50
WP27,1990110900,0,0,0,0,0,0,0,0,0,0,40,40
WP27,1990110906,0,0,0,0,0,0,0,0,0,0,40,30
WP29,1990112306,0,0,0,0,0,0,0,0,0,0,30,30
WP29,1990112406,0,0,0,0,0,0,0,0,0,0,30,30
WP07,1991071612,0,0,0,0,0,0,0,0,0,0,30,50
WP07,1991071618,0,0,0,0,0,0,0,0,0,0,35,35
WP24,1991100606,0,0,0,0,0,0,0,0,0,0,30,45
WP24,1991100612,0,0,0,0,0,0,0,0,0,0,40,30
WP25,1991102118,0,0,0,0,0,0,0,0,0.6,0,30,55
WP25,1991102200,0,0,0,0,0,0,0,0,0,0,40,45
WP25,1991102206,0,0,0,0,0,0,0,0,0,0,50,35
WP26,1991110200,0,0,0,0,0,0,0,0,0,0,35,40
WP30,1991112400,0,0,0,0,0,0,0,0,0,0,30,40
WP30,1991112406,0,0,0,0,0,0,0,0,0,0,35,35
WP30,1991112412,0,0,0,0,0,0,0,0,0,0,40,30
WP30,1991112418,0,0,0,0,0,0,0,0,0,0,40,30
WP30,1991112500,0,0,0,0,0,0,0,0,0,0,40,30
WP30,1991112506,0,0,0,0,0,0,0,0,0,0,35,30
WP02,1992062406,0,0,0,0,0,0,0,0,0,0,30,30
WP02,1992062412,0,0,0,0,0,0,0,0,0,0,30,40
WP02,1992062418,0,0,0,0,0,0,0,0,0,0,30,45
WP02,1992062500,0,0,0,0,0,0,0,0,0,0,30,35
WP10,1992080312,0,0,0,0,0,0,0,0,0,0,30,45
WP10,1992080318,0,0,0,0,0,0,0,0,0,0,35,40
WP10,1992080400,0,0,0,0,0,0,0,0,0,0,35,35
WP23,1992100900,0,0,0,0,0,0,0,0,0,0,30,45
WP23,1992100906,0,0,0,0,0,0,0,0,0,0,35,35
WP30,1992111800,0,0,0,0,0,0,0,0,0,0,30,35
WP32,1992111800,0,0,0,0,0,0,0,0,0,0,30,30
WP06,1993062206,0,0,0,0,0,0,0,0,0,0,35,40
WP19,1993083100,0,0,0,0,0,0,0,0,0,0,30,40
WP19,1993083106,0,0,0,0,0,0,0,0,0,0,35,40
WP19,1993083112,0,0,0,0,0,0,0,0,0,0,40,30
WP23,1993092318,0,0,0,0,0,0,0,0,6.4,0,30,35
WP30,1993102906,0,0,0,0,0,0,0,0,0,0,35,40
WP30,1993102912,0,0,0,0,0,0,0,0,0,0,40,35
WP08,1994070712,0,0,0,0,0,0,0,0,0,0,30,50
WP08,1994070718,0,0,0,0,0,0,0,0,0,0,35,45
WP08,1994070800,0,0,0,0,0,0,0,0,0,0,45,30
WP10,1994071718,0,0,0,0,0,0,0,0,3.5,0,30,30
WP17,1994080218,0,0,0,0,0,0,0,0,0,0,30,40
WP17,1994080300,0,0,0,0,0,0,0,0,0,0,35,40
WP17,1994080306,0,0,0,0,0,0,0,0,0,0,40,40
WP17,1994080312,0,0,16.4,15.4,94,0,1.1,337.5,0,0,40,35
WP17,1994080318,0,0,15.1,15.1,100,0,1.3,270,2.5,0,40,35
WP35,1994102106,0,0,0,0,0,0,0,0,0,0,30,40
WP35,1994102112,0,0,0,0,0,0,0,0,0,0,35,35
WP35,1994102118,0,0,0,0,0,0,0,0,0,0,40,30
WP14,1995083006,760.4,0,14,12.1,88,14.1,1.2,225,0,0,30,30
WP17,1995091212,767.8,0,17,16.2,95,18.4,0.5,360,0,0,30,45
WP17,1995091300,767.5,0,12.8,12.7,99,14.7,1.7,225,0,0,30,50
WP17,1995091306,766.1,0,11.9,11.9,100,13.9,0.6,157.5,0,0,35,50
WP17,1995091312,766.4,0,16.1,15.3,95,17.4,0.4,337.5,0,0,45,30
