NAME,yyyymmddhh,PS01,PS02,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP22,2002083012,762.1,3124.9,14.6,14.6,100,16.6,1.7,180,8.5,0.7,40,30
WP25,2002092712,766.2,3175.9,19.1,15.2,78,17.3,1.6,280,0,0,35,40
WP25,2002092718,765.9,3164.1,13.3,11.8,91,13.8,1.7,310,0,0,40,55
WP25,2002092800,766.5,3180,12.2,10.4,89,12.6,2.3,280,0,0,55,55
WP25,2002092806,765.8,3162.8,10.8,10.2,96,12.4,0.9,340,0,0,55,45
WP25,2002092812,766.6,3176.5,15.6,14.7,94,16.7,0.6,270,0,0,45,30
WP29,2002102706,765.6,3155.5,9.8,9.8,100,12.1,0.4,245,0,0,30,30
WP02,2003041306,764.8,3155.2,12.8,-1.8,36,5.4,1.8,220,0,0,35,35
WP02,2003041312,765.5,3165.9,16.7,4.4,44,8.4,2,210,0,0,35,45
WP02,2003041318,764.3,3146.5,11.3,8.4,82,11,1.2,10,0,0,45,35
WP04,2003052206,764.1,3145.3,11.4,9.7,89,12,1.6,70,0,0,30,40
WP04,2003052212,764.3,3155.7,19.5,17.2,87,19.6,1.3,330,0,0,40,50
WP04,2003052218,763.7,3142.2,14.5,13.2,92,15.2,1.4,60,0,0,50,30
WP07,2003061706,759.2,3095.5,13.3,12.3,94,14.3,1.3,110,0,0,40,40
WP09,2003071900,764.4,3160.7,14.2,10.8,80,12.9,1.7,160,0,0,35,35
WP09,2003071906,764.1,3150.7,12.8,9.8,82,12.1,0.8,130,0,0,35,45
WP09,2003071912,764.5,3160.9,19.4,16.7,84,19,1.6,290,0,0,45,40
WP09,2003071918,763.9,3145.8,14.2,14.2,100,16.2,1.7,120,0,0,40,30
WP12,2003082000,759.5,3099,12.1,11.4,95,13.5,1.4,320,0,0,30,30
WP12,2003082018,761.5,3121,14.5,14.5,100,16.5,0.6,205,1,1,30,30
WP14,2003082818,765.8,3165.1,14.7,14.3,97,16.3,2.2,90,0,0,30,35
WP14,2003082900,766.2,3172,11.8,10.7,93,12.9,1.4,10,0,0,35,40
