NAME,yyyymmddhh,PS01,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP03,1990051606,1001.2,24.1,22,88,26.4,0.3,202.5,0,0,30,30
WP07,1990062318,976.9,26.1,25.4,96,32.4,3.9,180,1.9,1,30,30
WP09,1990072618,991.4,30.3,24.3,70,30.4,1.3,247.5,0,0,35,50
WP09,1990072700,993.3,27.5,24,81,29.8,1.8,202.5,0,0,40,40
WP20,1990091500,996.5,27,24.1,84,30,1.2,90,0,0,35,55
WP20,1990091506,996.3,25.8,24.1,90,30,0.6,45,0.5,0.5,45,50
WP20,1990091512,996.4,31.7,24,64,29.8,2.2,247.5,0,0,55,35
WP20,1990091518,995.9,29.4,24.9,77,31.5,0.9,315,0,0,50,30
WP27,1990110800,1003.1,23.2,19.7,81,22.9,0.6,202.5,0,0,35,45
WP27,1990110806,1003,21,18.6,86,21.4,0.7,90,0,0,40,45
WP27,1990110812,1001.6,29.2,20.5,59,24.1,2.3,225,0,0,45,40
WP27,1990110818,1001.4,24.8,20.4,77,24,0.6,45,0,0,45,40
WP27,1990110900,1002.6,24.1,20.5,80,24.1,0.6,90,0,0,40,45
WP27,1990110906,1001.7,21.8,19.7,88,22.9,0.2,0,0,0,40,50
WP27,1990110912,1002.8,30.3,20.9,57,24.7,3.7,337.5,0,0,45,40
WP27,1990110918,1004.1,21.4,16.3,73,18.5,3,360,0,0,50,30
WP29,1990112406,1010.2,15.8,13.8,88,15.8,0.4,135,0,0,30,40
WP29,1990112412,1008.3,26,15.5,50,17.6,1.5,292.5,0,0,45,35
WP29,1990112418,1007.1,22.8,16.3,67,18.5,1.6,360,0,0,40,30
WP04,1991050806,1004.6,22.6,21.2,92,25.2,1.2,90,0,0,40,45
WP04,1991050812,1005.2,27.7,22.8,75,27.8,2.6,315,0,0,45,40
WP05,1991061218,1000.2,28.7,21.7,66,26,1.3,67.5,0,0,40,40
WP05,1991061300,1001.7,27.7,23.4,77,28.8,0.4,202.5,0,0,40,30
WP07,1991071612,998.8,33.2,21.9,52,26.3,1.4,202.5,0,0,30,45
WP07,1991071618,997.2,30,24.2,71,30.2,2.2,315,0,0,35,50
WP07,1991071700,998.3,27.8,24.8,84,31.3,1.4,225,0,0,45,50
WP07,1991071706,997.8,26.2,24.7,91,31.1,0.3,135,0,0,50,35
WP19,1991091112,999.2,31.9,24.8,66,31.3,1.6,315,0,0,30,35
WP21,1991091512,998.2,30.6,21.8,59,26.1,2.2,337.5,0,0,35,30
WP22,1991092012,997.1,31.6,17.9,44,20.5,3.4,360,0,0,35,45
WP22,1991092018,997.5,27.6,20.4,65,24,1.8,360,0,0,40,40
WP23,1991100512,1001.9,30.1,22.7,65,27.6,3.1,337.5,0,0,30,40
WP23,1991100518,1000.8,25.1,19.4,71,22.5,2.4,360,0,0,35,35
WP24,1991100606,1001.8,21.8,17,74,19.4,0.8,337.5,0,0,30,50
WP24,1991100612,1000.9,29.8,19,52,22,2.8,360,0,0,40,50
WP24,1991100618,999.6,24.9,15.9,57,18.1,3.1,360,0,0,50,45
