NAME,yyyymmddhh,PS01,PS02,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP09,1990072618,999.9,0,30.9,21.6,58,25.8,6.8,90,0,0,35,40
WP20,1990091500,1007.9,0,28.1,23.8,78,29.5,5.7,67.5,0,0,35,50
WP20,1990091506,1007.3,0,27.6,23.1,77,28.3,5.8,67.5,0,0,45,35
WP20,1990091512,1006.5,0,33,22.2,53,26.8,7.5,112.5,0,0,55,30
WP27,1990110800,1012.2,0,25.3,19.8,72,23.1,6.1,67.5,0,0,35,45
WP27,1990110806,1011.7,0,25.2,19.2,69,22.2,4.9,67.5,0,0,40,40
WP27,1990110812,1009.6,0,31.4,20.5,52,24.1,4.6,112.5,0,0,45,40
WP27,1990110818,1009.7,0,27.1,21.3,71,25.3,2.4,315,0,0,45,45
WP27,1990110900,1011,0,25.2,21.4,79,25.5,2.2,180,0,0,40,50
WP27,1990110906,1010.5,0,23.8,19.7,78,22.9,2.9,180,0,0,40,40
WP27,1990110912,1012.2,0,28,20.8,65,24.6,6.2,337.5,0,0,45,30
WP29,1990112406,1021,0,20,15.2,74,17.3,3.8,90,0,0,30,35
WP29,1990112412,1019,0,25,15.1,54,17.2,6.8,67.5,0,0,45,30
WP04,1991050806,1014,0,23.6,20.5,83,24.1,2,22.5,0,0,40,40
WP05,1991061218,1008.9,0,30.3,25.7,76,33,2.5,180,0,0,40,30
WP07,1991071612,1006.9,0,35.1,22.5,48,27.2,3.6,315,0,0,30,50
WP07,1991071618,1005.6,0,32.9,21.8,52,26.1,4.1,112.5,0,0,35,50
WP07,1991071700,1006.4,0,30,23.1,67,28.3,4,90,0,0,45,35
WP22,1991092012,1009,0,29.6,18,50,20.6,5.4,67.5,0,0,35,40
WP23,1991100512,1013.8,0,24.8,19.6,73,22.8,4.4,90,0,0,30,35
WP24,1991100606,1013.2,0,22.4,18,76,20.6,2,180,0,0,30,50
WP24,1991100612,1012.7,0,26.5,15.9,52,18.1,4.2,45,0,0,40,45
WP24,1991100618,1012.5,0,24.7,14.9,54,16.9,1.6,67.5,0,0,50,30
WP25,1991102118,1018.3,0,22.5,19.1,81,22.1,4.3,67.5,0,0,30,55
WP25,1991102200,1018.6,0,21.7,19,85,22,5.6,67.5,0,0,40,55
WP25,1991102206,1018.4,0,21.6,18.1,80,20.8,5.6,90,0,0,50,45
WP25,1991102212,1018.7,0,23.9,18.6,72,21.4,5.5,67.5,0,0,55,35
WP26,1991110200,1017.4,0,19.8,13.4,67,15.4,1.6,67.5,0,0,35,55
WP26,1991110206,1016.6,0,20.2,13.1,64,15.1,1.7,135,0,0,45,40
WP30,1991112400,1021.6,0,23,19.1,79,22.1,5.3,67.5,0,0,30,40
WP30,1991112406,1022.8,0,21.5,16.7,74,19,4.6,67.5,0,0.6,35,40
WP30,1991112412,1024,0,21.1,17,77,19.4,6.7,67.5,0,1,40,35
WP30,1991112418,1025.9,0,18.6,14.9,79,16.9,6.3,67.5,0,1,40,30
WP30,1991112500,1027.2,0,17.1,13.9,81,15.9,4.6,90,0,0,40,30
WP30,1991112506,1025.3,0,17.1,14.5,85,16.5,4.4,90,0,1,35,30
WP30,1991112512,1024.5,0,19.9,15.7,77,17.8,6.5,90,0,0.8,30,30
WP02,1992062406,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP02,1992062412,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP02,1992062418,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP02,1992062500,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP02,1992062506,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
WP10,1992080312,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP10,1992080318,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,45
