NAME,yyyymmddhh,PS01,PS02,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP20,1990091500,1007.9,0,28.1,23.8,78,29.5,5.7,67.5,0,0,35,35
WP20,1990091506,1007.3,0,27.6,23.1,77,28.3,5.8,67.5,0,0,45,30
WP27,1990110800,1012.2,0,25.3,19.8,72,23.1,6.1,67.5,0,0,35,40
WP27,1990110806,1011.7,0,25.2,19.2,69,22.2,4.9,67.5,0,0,40,40
WP27,1990110812,1009.6,0,31.4,20.5,52,24.1,4.6,112.5,0,0,45,45
WP27,1990110818,1009.7,0,27.1,21.3,71,25.3,2.4,315,0,0,45,50
WP27,1990110900,1011,0,25.2,21.4,79,25.5,2.2,180,0,0,40,40
WP27,1990110906,1010.5,0,23.8,19.7,78,22.9,2.9,180,0,0,40,30
WP29,1990112306,1023.9,0,19.9,12.8,64,14.8,3.2,67.5,0,0,30,30
WP29,1990112406,1021,0,20,15.2,74,17.3,3.8,90,0,0,30,30
WP07,1991071612,1006.9,0,35.1,22.5,48,27.2,3.6,315,0,0,30,50
WP07,1991071618,1005.6,0,32.9,21.8,52,26.1,4.1,112.5,0,0,35,35
WP24,1991100606,1013.2,0,22.4,18,76,20.6,2,180,0,0,30,45
WP24,1991100612,1012.7,0,26.5,15.9,52,18.1,4.2,45,0,0,40,30
WP25,1991102118,1018.3,0,22.5,19.1,81,22.1,4.3,67.5,0,0,30,55
WP25,1991102200,1018.6,0,21.7,19,85,22,5.6,67.5,0,0,40,45
WP25,1991102206,1018.4,0,21.6,18.1,80,20.8,5.6,90,0,0,50,35
WP26,1991110200,1017.4,0,19.8,13.4,67,15.4,1.6,67.5,0,0,35,40
WP30,1991112400,1021.6,0,23,19.1,79,22.1,5.3,67.5,0,0,30,40
WP30,1991112406,1022.8,0,21.5,16.7,74,19,4.6,67.5,0,0.6,35,35
WP30,1991112412,1024,0,21.1,17,77,19.4,6.7,67.5,0,1,40,30
WP30,1991112418,1025.9,0,18.6,14.9,79,16.9,6.3,67.5,0,1,40,30
WP30,1991112500,1027.2,0,17.1,13.9,81,15.9,4.6,90,0,0,40,30
WP30,1991112506,1025.3,0,17.1,14.5,85,16.5,4.4,90,0,1,35,30
WP02,1992062406,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP02,1992062412,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP02,1992062418,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP02,1992062500,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
WP10,1992080312,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP10,1992080318,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,40
WP10,1992080400,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,35
WP23,1992100900,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP23,1992100906,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,35
WP30,1992111800,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
WP32,1992111800,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP06,1993062206,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,40
WP19,1993083100,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP19,1993083106,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,40
WP19,1993083112,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,30
WP23,1993092318,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
WP30,1993102906,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,40
WP30,1993102912,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,35
WP08,1994070712,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,50
WP08,1994070718,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,45
WP08,1994070800,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,30
WP10,1994071718,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP17,1994080218,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP17,1994080300,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,40
WP17,1994080306,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,40
WP17,1994080312,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,35
WP17,1994080318,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,35
WP35,1994102106,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP35,1994102112,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,35
WP35,1994102118,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,30
WP14,1995083006,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP17,1995091212,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP17,1995091300,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,50
WP17,1995091306,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,50
WP17,1995091312,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,30
WP20,1995092812,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP26,1995101618,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP26,1995101700,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,45
WP26,1995101706,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,40
WP26,1995101712,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,40
WP26,1995101718,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,30
WP29,1995103012,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP04,1996051212,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP07,1996071312,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,50
WP07,1996071318,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,65
WP07,1996071400,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,65
WP07,1996071406,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,45
WP10,1996072418,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP10,1996072500,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP10,1996072506,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP23,1996090506,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,35
WP23,1996090512,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,40
WP23,1996090518,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,60
WP23,1996090600,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,50
WP23,1996090606,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,40
WP29,1996092412,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,30
WP07,1997060712,0,0,0,0,0,0,0,0,0,0,30,50
WP07,1997060718,0,0,0,0,0,0,0,0,0,0,40,50
